Niveau,Spécialité,Section,Jours,Créneaux,Module,Type,Groupe,Salle,Bloc,Prof
M1,SSI,A,Mardi,08:00-09:30,SYST,TD,1,453,400,BELKHIR
M1,SSI,A,Mardi,08:00-09:30,INTR.SECU,TD,2,389,300,MEKLICHE
M1,SSI,A,Mardi,09:40-11:10,INTR.SECU,TP,1,TP132,Fac Info,EL NAGGER
M1,SSI,A,Mardi,09:40-11:10,SYST,TD,2,310,300,BELKHIR
M1,SSI,A,Mardi,11:20-12:50,ARITH.MOD,TD,1,TP C4,Nouveau Bloc,DAHMANI
M1,SSI,A,Mardi,14:40-16:10,ARITH.MOD,TP,1,TP130,Fac Info,DAHMANI
M1,SSI,A,Mercredi,08:00-09:30,VTBDA,TP,1,TP C6,Nouveau Bloc,AZZOUZ
M1,SSI,A,Mercredi,09:40-11:10,SYST,TP,1,TP C4,Nouveau Bloc,OURAHMOUNE
M1,SSI,A,Mercredi,09:40-11:10,VTBDA,TP,2,TP C6,Nouveau Bloc,AZZOUZ
M1,SSI,A,Mercredi,11:20-12:50,INTR.SECU,TP,2,TP132,Fac Info,EL NAGGER
M1,SSI,A,Mercredi,14:40-16:10,SYST,TP,1,TP C9,Nouveau Bloc,OURAHMOUNE
M1,SSI,A,Jeudi,08:00-09:30,INTR.SECU,Cours,0,103,100,BERBAR
M1,SSI,A,Jeudi,09:40-11:10,INTR.SECU,TD,1,407,400,MEKLICHE
M1,SSI,A,Jeudi,09:40-11:10,COMPLEXITE,TD,2,446,400,MOSTEGHANEMI
M1,SSI,A,Jeudi,11:20-12:50,COMPLEXITE,TD,1,416,400,MOSTEGHANEMI
M1,SSI,A,Jeudi,14:40-16:10,COMPLEXITE,Cours,0,E8,Nouveau Bloc,MOSTEGHANEMI
M2,SSI,A,Samedi,08:00-09:30,SEC.APL,TP,1,TP132,Fac Info,BERBAR
M2,SSI,A,Samedi,09:40-11:10,SEC.APL,TP,2,TP132,Fac Info,BERBAR
M2,SSI,A,Samedi,11:20-12:50,AUT SEC,TP,1,TP132,Fac Info,BERBAR
M2,SSI,A,Samedi,11:20-12:50,MEOP,TD,2,362,300,BABA ALI
M2,SSI,A,Dimanche,08:00-09:30,AUT SEC,Cours,0,135,100,BERBAR
M2,SSI,A,Dimanche,09:40-11:10,SEC.SYS AV,TP,1,TP127,Fac Info,GUERROUMI
M2,SSI,A,Dimanche,09:40-11:10,AUT SEC,TP,2,TP129,Fac Info,BERBAR
M2,SSI,A,Dimanche,11:20-12:50,SEC.SYS AV,Cours,0,231,200,GUERROUMI
M2,SSI,A,Dimanche,13:00-14:30,PSSR,TP,1,TP122,Fac Info,BOUGHACI
M2,SSI,A,Dimanche,14:40-16:10,PSSR,TP,2,TP131,Fac Info,BOUGHACI
M2,SSI,A,Lundi,08:00-09:30,SEC.APL,Cours,0,225,200,BERBAR
M2,SSI,A,Lundi,09:40-11:10,MPOD,Cours,0,225,200,MEKLICHE
M2,SSI,A,Lundi,14:40-16:10,MEOP,Cours,0,D,Amphi,BABA ALI
M2,SSI,A,Mardi,08:00-09:30,MEOP,TD,1,439,400,BABA ALI
M2,SSI,A,Mardi,09:40-11:10,SEC.SYS AV,TP,2,TP122,Fac Info,GUERROUMI
M2,SSI,A,Mardi,11:20-12:50,PSSR,Cours,0,D5,Nouveau Bloc,BOUGHACI
M2,SSI,A,Mercredi,09:40-11:10,SEC CTRL TRAF,Cours,0,135,100,ZAFOUNE
M2,SSI,A,Mercredi,13:00-14:30,SEC CTRL TRAF,TP,2,TP122,Fac Info,ZAFOUNE
M2,SSI,A,Mercredi,14:40-16:10,SEC CTRL TRAF,TP,1,TP122,Fac Info,ZAFOUNE
M2,SSI,A,Jeudi,08:00-09:30,MODELISATION,Cours,0,113,100,HAMMAL
M2,SSI,A,Jeudi,09:40-11:10,MODELISATION,TD,1,440,400,HAMMAL
M2,SSI,A,Jeudi,11:20-12:50,MPOD,TP,1,TP122,Fac Info,MEKLICHE
